2010_006547,14
2008_007216,7
2010_004847,2
2012_001724,14
2011_002935,14
2007_003143,6
2011_004303,14
2008_006039,10 14
2012_000601,14
2007_006035,6
2009_003985,7
2012_003775,14
2011_004557,14
2011_002488,8 10 4 14
2010_002841,6
2011_002376,14
2008_004371,13 14
2011_000232,2
2012_000974,14
2012_003576,14
2011_006603,14
2009_000336,19
2008_007912,3
2011_004561,14
2012_000244,14
2011_004318,14
2012_000319,14
2010_001808,5 6 14
2012_001273,14
2010_006314,14
2011_003528,14
2009_004721,7
2008_000931,11
2012_001604,14
2012_000463,14
2008_000502,7
2009_001518,9
2010_000370,11
2011_006396,14
2010_001927,2
2009_003367,19
2009_001024,4 14
2009_003565,12
2012_002718,14
2012_002344,14
2010_004928,11
2009_003116,8 14
2012_000703,14
2012_003751,14
2012_004222,14
2011_005300,14
2010_006051,13 14 6
2008_006031,19
2010_005712,7
2008_008069,1 14 6
2010_006877,14
2010_001995,2
2009_003461,5
2011_004416,14
2010_006922,14
2011_003317,14
2008_007697,4
2011_000885,8 4 14 15
2009_002663,8 17 10 19
2012_001030,14
2008_008726,18 14 6
2011_002658,14
2010_005573,7
2010_001032,11 14
2008_007641,5
2008_004534,14
2009_000417,0
2011_002740,3 14
2010_004204,11
2011_001189,2 3
2009_004545,11
2008_004065,14
2011_005732,14
2011_005645,14
2009_002532,5 6
2008_007485,13 14
2010_005764,8 10 19 14
2012_003001,14
2011_000955,14
2011_002454,14
2011_002673,0
2012_003465,14
2012_000660,14
2009_002591,3
2009_000852,12
2008_006232,2
2010_006242,14
2010_006264,14
2012_001426,14
2008_004217,19 14
2008_004632,8 17
2010_005608,2
2008_006448,12 14
2012_004157,14
2009_001159,5
2012_000656,14
2007_009040,14
2008_002676,8 19 14
2009_003431,14
2008_007026,9
2011_005668,14
2008_001778,14
2009_000177,18
2008_004768,11
2011_000293,6
2012_000895,14
2012_003250,14
2011_003581,14
2011_002521,14
2011_002679,14
2008_003941,6
2011_005533,14
2008_004771,0
2011_006803,14
2008_001641,8 19
2008_000881,14
2012_000121,14
2011_005229,14
2012_001619,14
2012_000146,14
2012_001234,14
2012_001205,14
2011_002389,7
2012_003289,14
2009_002958,11
2012_000348,14
2011_005205,14
2008_000637,14
2012_003772,14
2007_000364,13 14
2011_004954,14
2011_007104,14
2008_006356,11
2007_007477,3
2008_006873,2 14
2010_005515,18 14
2008_001111,7
2012_001500,14
2010_003183,9
2011_004202,14
2009_003814,6
2008_003777,5
2012_002476,14
2009_003576,13 14
2011_004609,14
2012_002773,14
2012_003025,14
2008_000133,1 6
2011_001143,14
2008_004845,11
2011_001277,17 14
2011_006664,14
2012_000183,14
2011_004415,14
2010_003157,8 10
2011_001952,2
2008_007314,6
2012_004193,14
2008_007835,15
2012_002130,14
2011_000317,11 8 19 14
2012_001697,14
2012_003535,14
2012_003140,14
2011_007201,14
2011_003284,14
2011_006839,14
2008_004008,8 19
2008_007870,2
2012_003115,14
2012_003418,14
2008_002056,14
2012_000968,14
2008_003381,5
2011_004104,14
2011_006019,14
2009_004999,7
2008_002446,14
2009_001152,18
2008_008070,8 10 15
2009_003257,2 14
2010_004844,13 15 5 14 6
2012_001394,14
2010_003019,11
2010_006520,14
2012_003301,14
2009_000463,4 14
2010_000285,0
2011_001796,18
2012_002529,14
2011_002189,9
2010_006711,14
2012_003932,14
2011_006794,14
2012_003332,14
2008_007335,8
2012_002435,14
2011_004255,14
2011_000213,8 14
2011_006557,14
2007_002789,9 14 6
2011_006850,14
2007_005857,15
2011_002422,8 10 4 14
2009_004201,16
2010_001142,4 14
2011_006632,14
2010_001717,15
2009_001755,13
2011_004931,14
2012_003484,14
2011_002870,8
2012_000862,14
2008_001605,14
2012_001596,14
2007_007649,4 14
2012_002566,14
2010_002767,1 14
2011_002241,8 10
2011_005542,14
2011_004890,14
2011_001136,6
2012_003603,14
2010_002218,5
2011_006604,14
2011_007175,14
2011_005067,14
2010_003375,11 14
2012_001387,14
2012_003888,14
2010_002772,4
2012_000010,14
2008_006410,1 14
2010_006595,14
2011_001458,14
2010_004137,19
2011_006071,14
2010_000522,6
2011_005158,14
2011_006747,14
2012_002658,14
2008_003374,11
2008_008179,0
2008_003277,14
2012_002107,14
2010_006117,14
2008_006586,3 14
2011_000080,14
2009_001181,1 4 14
2012_003695,14
2008_008058,13 14
2008_003519,7
2008_003478,0 14
2011_006419,14
2012_002619,14
2009_004122,4
2010_000262,11 13 14
2012_002416,14
2011_004555,14
2008_000255,14
2011_006493,14
2012_003122,14
2008_006954,2
2012_002977,14
2008_000618,14
2008_001383,14
2011_006520,14
2011_003835,14
2009_002817,15
2012_001556,14
2008_003359,14
2012_002879,14
2008_004985,8
2011_005269,14
2011_005800,14
2011_005572,14
2010_005021,8 7
2011_005592,14
2010_001272,18 6 14
2009_000920,18
2012_002656,14
2009_004248,7
2011_007200,14
2008_002916,17
2009_000253,14
2008_000257,16
2010_000975,11
2009_004890,8 10 14
2008_004827,9 6
2008_002965,18
2009_003560,13 6
2008_000033,0
2008_005614,7
2011_000434,17 19 14
2011_002917,18 14
2010_003761,16
2012_003480,14
2010_005672,6
2009_002830,3
2008_004671,2
2009_002112,12 14
2011_000755,8 19
2009_001462,8
2012_001277,14
2010_000837,11
2008_002144,14
2008_005171,6 14
2008_002651,14
