46,74,6
1,92,36
82,12,56
50,37,75
30,95,34
68,51,69
78,14,28
70,33,20
91,89,98
72,16,38
39,69,48
28,78,54
11,20,26
9,58,82
17,16,49
45,19,14
43,1,38
51,35,5
86,73,26
39,59,37
68,34,6
97,1,70
16,9,37
5,18,60
37,59,53
90,9,17
7,2,25
33,92,80
80,19,36
41,65,24
32,53,47
30,22,70
95,67,22
33,61,6
1,48,65
81,4,20
28,55,84
39,80,92
1,35,42
44,71,71
90,27,4
27,71,48
11,67,83
91,32,13
86,21,18
74,94,76
77,57,30
37,32,48
53,37,22
32,18,33
84,68,55
1,34,3
5,80,2
55,80,68
55,59,91
24,81,28
30,3,61
25,18,23
45,12,48
57,8,66
51,33,5
23,64,55
83,8,65
3,18,68
90,52,17
89,81,17
2,89,47
71,11,41
50,43,55
15,21,88
16,97,51
97,55,29
100,59,47
81,100,85
95,90,59
75,59,24
88,90,33
20,15,39
25,33,81
4,9,88
87,71,93
5,37,68
73,88,80
83,43,97
16,14,77
36,94,97
22,26,5
22,53,17
41,38,78
51,60,93
47,44,51
66,16,51
75,93,80
65,30,45
3,59,91
69,24,17
19,88,21
80,42,81
88,89,14
57,90,73
